movie_id,rank,movie_title,release_date,distributor,genre,gross_2024,tickets_sold,release_year
249,250,Laufey’s A Night at the Sym…,2024/12/06,Trafalgar Releasing,Concert/Perfor…,845370.0,74745.0,2024
250,251,Freud’s Last Session,2023/12/22,Sony Pictures Cla…,Drama,841503.0,74403.0,2023
251,252,Evil Does Not Exist,2024/05/03,Janus Films,Drama,831685.0,73535.0,2024
252,253,Spider-Man: Far From Home,2019/07/02,Sony Pictures,Action,830407.0,73422.0,2019
253,254,Arcadian,2024/04/12,IFC Films,Thriller/Suspense,828919.0,73291.0,2024
254,255,The Brutalist,2024/12/20,A24,Drama,807682.0,71413.0,2024
255,256,Whiplash,2014/10/10,Sony Pictures Cla…,Drama,800934.0,70816.0,2014
256,257,Janet Planet,2024/06/21,A24,Drama,793638.0,70171.0,2024
257,258,CatVideoFest 2024,2024/08/02,Oscilloscope Pict…,Documentary,790134.0,69862.0,2024
258,259,Stopmotion,2024/02/23,IFC Films,Horror,789226.0,69781.0,2024
259,260,Your Monster,2024/10/25,Vertical Entertai…,Horror,745643.0,65928.0,2024
260,261,Killers of the Flower Moon,2023/10/20,Paramount Pictures,Western,743327.0,65723.0,2023
261,262,Slingshot,2024/08/30,Bleecker Street,Thriller/Suspense,735739.0,65052.0,2024
262,263,"RM: Right People, Wrong Place",2024/12/05,CJ4DPlex,Documentary,714120.0,63141.0,2024
263,264,Disciples in the Moonlight,2024/07/12,Fathom Events,Drama,708379.0,62633.0,2024
264,265,The Return,2024/12/06,Bleecker Street,Drama,703978.0,62244.0,2024
265,266,Ghostlight,2024/06/14,IFC Films,Drama,697229.0,61647.0,2024
266,267,Spider-Man: No Way Home,2021/12/17,Sony Pictures,Action,696465.0,61580.0,2021
267,268,Jaws,1975/06/20,Fathom Events,Horror,696045.0,61542.0,1975
268,269,Tuesday,2024/06/14,A24,Drama,693351.0,61304.0,2024
269,270,Bade Miyan Chote Miyan,2024/04/10,Yash Raj Films,Action,689505.0,60964.0,2024
270,271,The Amazing Spider-Man,2012/07/03,Sony Pictures,Adventure,686557.0,60704.0,2012
271,272,The Amazing Spider-Man 2,2014/05/02,Sony Pictures,Action,676410.0,59806.0,2014
272,273,The Goonies,1985/06/07,Warner Bros.,Adventure,666915.0,58967.0,1985
